---,HP,Magic,Magic Stone,MP,Speed,Spirit,Strength
1,110,13,18,26,22,13,22
2,138,13,18,26,22,13,22
3,168,13,19,27,22,13,22
4,208,14,19,30,22,14,23
5,243,14,20,31,22,14,23
6,280,14,20,32,22,14,23
7,333,15,20,36,22,15,24
8,375,15,22,37,22,15,24
9,419,15,22,38,22,15,24
10,485,16,23,42,23,16,25
11,531,16,23,44,23,16,25
12,598,17,23,48,23,17,26
13,641,17,24,49,23,17,26
14,709,18,25,54,23,18,27
15,750,18,26,55,23,18,27
16,789,18,26,56,23,18,27
17,856,19,26,60,23,19,28
18,892,19,27,62,23,19,28
19,930,19,27,63,23,19,28
20,1005,20,28,68,24,20,29
21,1049,20,29,69,24,20,29
22,1096,20,29,71,24,20,29
23,1184,21,30,76,24,21,30
24,1278,22,30,81,24,22,31
25,1335,22,31,83,24,22,31
26,1395,22,31,85,24,22,31
27,1504,23,32,91,24,23,32
28,1570,23,33,94,24,23,32
29,1639,23,33,96,24,23,32
30,1764,24,34,103,25,24,33
31,1841,24,34,105,25,24,33
32,1920,24,34,108,25,24,33
33,2063,25,36,116,25,25,34
34,2213,26,36,124,25,26,35
35,2297,26,37,127,25,26,35
36,2375,26,37,130,25,26,35
37,2518,27,37,137,25,27,36
38,2587,27,38,140,25,27,36
39,2651,27,38,142,25,27,36
40,2783,28,40,149,26,28,37
41,2837,28,40,151,26,28,37
42,2884,28,40,153,26,28,37
43,2928,28,41,155,26,28,37
44,3130,30,41,167,26,30,39
45,3171,30,42,169,26,30,39
46,3208,30,43,170,26,30,39
47,3326,31,43,177,26,31,40
48,3358,31,44,178,26,31,40
49,3387,31,44,179,26,31,40
50,3498,32,45,186,27,32,41
51,3521,32,45,186,27,32,41
52,3539,32,45,187,27,32,41
53,3553,32,47,187,27,32,41
54,3648,33,47,194,27,33,42
55,3743,34,48,200,27,34,43
56,3750,34,48,200,27,34,43
57,3843,35,48,206,27,35,44
58,3849,35,49,207,27,35,44
59,3853,35,50,207,27,35,44
60,3944,36,51,213,28,36,45
61,3947,36,51,214,28,36,45
62,3949,36,51,214,28,36,45
63,3950,36,52,214,28,36,45
64,4038,37,52,221,28,37,46
65,4127,38,54,227,28,38,47
66,4128,38,54,228,28,38,47
67,4217,39,54,234,28,39,48
68,4218,39,55,234,28,39,48
69,4219,39,55,235,28,39,48
70,4308,40,56,241,29,40,49
71,4309,40,56,242,29,40,49
72,4310,40,57,242,29,40,49
73,4311,40,58,242,29,40,49
74,4400,41,58,249,29,41,50
75,4401,41,59,249,29,41,50
76,4490,42,59,256,29,42,51
77,4579,43,59,262,29,43,52
78,4580,43,61,263,29,43,52
79,4581,43,61,263,29,43,52
80,4670,44,62,270,30,44,53
81,4671,44,62,270,30,44,53
82,4672,44,62,271,30,44,53
83,4673,44,63,271,30,44,53
84,4762,45,63,278,30,45,54
85,4763,45,65,278,30,45,54
86,4764,45,65,279,30,45,54
87,4942,47,65,291,30,47,56
88,4943,47,66,292,30,47,56
89,4944,47,66,292,30,47,56
90,5034,48,67,299,31,48,57
91,5035,48,68,300,31,48,57
92,5036,48,68,300,31,48,57
93,5037,48,69,300,31,48,57
94,5127,49,69,307,31,49,58
95,5128,49,70,308,31,49,58
96,5129,49,70,308,31,49,58
97,5307,51,71,321,31,51,60
98,5308,51,72,322,31,51,60
99,5428,51,72,327,31,51,60
