---,HP,Magic,Magic Stone,MP,Speed,Spirit,Strength
1,70,23,14,46,21,23,14
2,87,23,14,47,21,23,14
3,106,23,15,48,21,23,14
4,136,24,15,52,21,24,15
5,159,24,16,54,21,24,15
6,183,24,16,56,21,24,15
7,222,25,16,60,21,25,16
8,250,25,18,62,21,25,16
9,279,25,18,64,21,25,16
10,329,26,19,69,22,26,17
11,361,26,19,72,22,26,17
12,414,27,19,76,22,27,18
13,444,27,20,79,22,27,18
14,499,28,21,84,22,28,19
15,528,28,22,86,22,28,19
16,555,28,22,88,22,28,19
17,612,29,22,93,22,29,20
18,637,29,23,94,22,29,20
19,664,29,23,96,22,29,20
20,728,30,24,102,23,30,21
21,760,30,25,104,23,30,21
22,793,30,25,106,23,30,21
23,868,31,26,112,23,31,22
24,948,32,26,118,23,32,23
25,990,32,27,121,23,32,23
26,1035,32,27,124,23,32,23
27,1128,33,28,131,23,33,24
28,1177,33,29,134,23,33,24
29,1229,33,29,138,23,33,24
30,1337,34,30,146,24,34,25
31,1395,34,30,149,24,34,25
32,1455,34,30,154,24,34,25
33,1577,35,32,162,24,35,26
34,1707,36,32,171,24,36,27
35,1772,36,33,176,24,36,27
36,1832,36,33,180,24,36,27
37,1958,37,33,188,24,37,28
38,2012,37,34,192,24,37,28
39,2061,37,34,194,24,37,28
40,2181,38,36,203,25,38,29
41,2223,38,36,205,25,38,29
42,2260,38,36,208,25,38,29
43,2295,38,37,210,25,38,29
44,2488,40,37,223,25,40,31
45,2520,40,38,225,25,40,31
46,2550,40,39,227,25,40,31
47,2661,41,39,234,25,41,32
48,2686,41,40,236,25,41,32
49,2709,41,40,237,25,41,32
50,2815,42,41,244,26,42,33
51,2834,42,41,245,26,42,33
52,2849,42,41,246,26,42,33
53,2860,42,43,246,26,42,33
54,2953,43,43,252,26,43,34
55,3047,44,44,259,26,44,35
56,3052,44,44,259,26,44,35
57,3144,45,44,265,26,45,36
58,3149,45,45,266,26,45,36
59,3152,45,46,266,26,45,36
60,3243,46,47,273,27,46,37
61,3245,46,47,273,27,46,37
62,3247,46,47,274,27,46,37
63,3247,46,48,274,27,46,37
64,3336,47,48,281,27,47,38
65,3424,48,50,287,27,48,39
66,3425,48,50,288,27,48,39
67,3514,49,50,294,27,49,40
68,3515,49,51,294,27,49,40
69,3516,49,51,295,27,49,40
70,3604,50,52,302,28,50,41
71,3605,50,52,302,28,50,41
72,3606,50,53,303,28,50,41
73,3607,50,54,303,28,50,41
74,3696,51,54,310,28,51,42
75,3696,51,55,310,28,51,42
76,3785,52,55,317,28,52,43
77,3874,53,55,323,28,53,44
78,3875,53,57,324,28,53,44
79,3876,53,57,324,28,53,44
80,3965,54,58,331,29,54,45
81,3966,54,58,332,29,54,45
82,3967,54,58,332,29,54,45
83,3968,54,59,333,29,54,45
84,4057,55,59,339,29,55,46
85,4058,55,61,340,29,55,46
86,4059,55,61,341,29,55,46
87,4236,57,61,353,29,57,48
88,4237,57,62,354,29,57,48
89,4238,57,62,355,29,57,48
90,4327,58,63,361,30,58,49
91,4328,58,64,362,30,58,49
92,4329,58,64,363,30,58,49
93,4330,58,65,363,30,58,49
94,4420,59,65,370,30,59,50
95,4421,59,66,371,30,59,50
96,4422,59,66,371,30,59,50
97,4599,61,67,384,30,61,52
98,4600,61,68,385,30,61,52
99,4704,61,68,391,30,61,52
