---,HP,Magic,Magic Stone,MP,Speed,Spirit,Strength
1,65,21,13,42,19,21,13
2,81,21,13,43,19,21,13
3,99,21,14,44,19,21,13
4,127,22,14,48,19,22,14
5,148,22,15,49,19,22,14
6,170,22,15,51,19,22,14
7,208,23,15,55,19,23,15
8,234,23,17,57,19,23,15
9,262,23,17,59,19,23,15
10,310,24,18,64,20,24,16
11,339,24,18,66,20,24,16
12,391,25,18,71,20,25,17
13,419,25,19,73,20,25,17
14,473,26,20,78,20,26,18
15,500,26,21,80,20,26,18
16,526,26,21,81,20,26,18
17,581,27,21,86,20,27,19
18,605,27,22,88,20,27,19
19,631,27,22,89,20,27,19
20,693,28,23,95,21,28,20
21,724,28,24,97,21,28,20
22,756,28,24,99,21,28,20
23,829,29,25,105,21,29,21
24,907,30,25,111,21,30,22
25,947,30,26,114,21,30,22
26,990,30,26,116,21,30,22
27,1081,31,27,123,21,31,23
28,1128,31,28,126,21,31,23
29,1178,31,28,129,21,31,23
30,1283,32,29,137,22,32,24
31,1339,32,29,141,22,32,24
32,1396,32,29,144,22,32,24
33,1517,33,31,153,22,33,25
34,1644,34,31,162,22,34,26
35,1706,34,32,166,22,34,26
36,1764,34,32,170,22,34,26
37,1888,35,32,178,22,35,27
38,1940,35,33,181,22,35,27
39,1988,35,33,184,22,35,27
40,2106,36,35,192,23,36,28
41,2147,36,35,195,23,36,28
42,2182,36,35,197,23,36,28
43,2216,36,36,199,23,36,28
44,2408,38,36,212,23,38,30
45,2439,38,37,214,23,38,30
46,2468,38,38,215,23,38,30
47,2577,39,38,223,23,39,31
48,2602,39,39,224,23,39,31
49,2625,39,39,225,23,39,31
50,2730,40,40,232,24,40,32
51,2748,40,40,233,24,40,32
52,2762,40,40,234,24,40,32
53,2773,40,42,234,24,40,32
54,2867,41,42,241,24,41,33
55,2960,42,43,247,24,42,34
56,2965,42,43,247,24,42,34
57,3057,43,43,254,24,43,35
58,3061,43,44,254,24,43,35
59,3065,43,45,254,24,43,35
60,3155,44,46,261,25,44,36
61,3157,44,46,261,25,44,36
62,3159,44,46,262,25,44,36
63,3160,44,47,262,25,44,36
64,3248,45,47,269,25,45,37
65,3337,46,49,275,25,46,38
66,3337,46,49,276,25,46,38
67,3426,47,49,282,25,47,39
68,3427,47,50,282,25,47,39
69,3428,47,50,283,25,47,39
70,3516,48,51,289,26,48,40
71,3517,48,51,290,26,48,40
72,3518,48,52,290,26,48,40
73,3519,48,53,291,26,48,40
74,3608,49,53,297,26,49,41
75,3608,49,54,298,26,49,41
76,3697,50,54,305,26,50,42
77,3786,51,54,311,26,51,43
78,3787,51,56,312,26,51,43
79,3788,51,56,312,26,51,43
80,3877,52,57,319,27,52,44
81,3878,52,57,319,27,52,44
82,3879,52,57,320,27,52,44
83,3879,52,58,320,27,52,44
84,3969,53,58,327,27,53,45
85,3969,53,60,328,27,53,45
86,3970,53,60,328,27,53,45
87,4148,55,60,341,27,55,47
88,4149,55,61,342,27,55,47
89,4150,55,61,342,27,55,47
90,4239,56,62,349,28,56,48
91,4240,56,63,350,28,56,48
92,4241,56,63,350,28,56,48
93,4242,56,64,351,28,56,48
94,4331,57,64,357,28,57,49
95,4332,57,65,358,28,57,49
96,4333,57,65,359,28,57,49
97,4511,59,66,372,28,59,51
98,4512,59,67,372,28,59,51
99,4614,59,67,378,28,59,51
