---,HP,Magic,Magic Stone,MP,Speed,Spirit,Strength
1,100,16,18,32,20,16,20
2,125,16,18,32,20,16,20
3,152,16,19,33,20,16,20
4,190,17,19,37,20,17,21
5,222,17,20,38,20,17,21
6,256,17,20,39,20,17,21
7,305,18,20,43,20,18,22
8,344,18,22,45,20,18,22
9,384,18,22,46,20,18,22
10,446,19,23,50,21,19,23
11,488,19,23,52,21,19,23
12,552,20,23,57,21,20,24
13,592,20,24,58,21,20,24
14,657,21,25,63,21,21,25
15,695,21,26,64,21,21,25
16,731,21,26,66,21,21,25
17,795,22,26,70,21,22,26
18,828,22,27,71,21,22,26
19,864,22,27,73,21,22,26
20,936,23,28,78,22,23,27
21,977,23,29,79,22,23,27
22,1020,23,29,81,22,23,27
23,1105,24,30,87,22,24,28
24,1195,25,30,92,22,25,29
25,1249,25,31,95,22,25,29
26,1305,25,31,97,22,25,29
27,1410,26,32,103,22,26,30
28,1472,26,33,106,22,26,30
29,1537,26,33,108,22,26,30
30,1657,27,34,116,23,27,31
31,1729,27,34,119,23,27,31
32,1804,27,34,122,23,27,31
33,1941,28,36,130,23,28,32
34,2086,29,36,138,23,29,33
35,2166,29,37,141,23,29,33
36,2240,29,37,145,23,29,33
37,2378,30,37,153,23,30,34
38,2443,30,38,155,23,30,34
39,2503,30,38,158,23,30,34
40,2633,31,40,165,24,31,35
41,2683,31,40,168,24,31,35
42,2728,31,40,169,24,31,35
43,2770,31,41,171,24,31,35
44,2970,33,41,184,24,33,37
45,3008,33,42,186,24,33,37
46,3044,33,43,187,24,33,37
47,3160,34,43,194,24,34,38
48,3190,34,44,195,24,34,38
49,3217,34,44,196,24,34,38
50,3327,35,45,203,25,35,39
51,3349,35,45,204,25,35,39
52,3367,35,45,205,25,35,39
53,3380,35,47,205,25,35,39
54,3475,36,47,211,25,36,40
55,3569,37,48,217,25,37,41
56,3576,37,48,218,25,37,41
57,3669,38,48,224,25,38,42
58,3674,38,49,224,25,38,42
59,3678,38,50,225,25,38,42
60,3769,39,51,231,26,39,43
61,3771,39,51,232,26,39,43
62,3773,39,51,232,26,39,43
63,3774,39,52,232,26,39,43
64,3863,40,52,239,26,40,44
65,3951,41,54,245,26,41,45
66,3952,41,54,246,26,41,45
67,4041,42,54,252,26,42,46
68,4042,42,55,252,26,42,46
69,4043,42,55,253,26,42,46
70,4132,43,56,259,27,43,47
71,4133,43,56,260,27,43,47
72,4134,43,57,260,27,43,47
73,4135,43,58,261,27,43,47
74,4224,44,58,267,27,44,48
75,4224,44,59,267,27,44,48
76,4313,45,59,274,27,45,49
77,4403,46,59,281,27,46,50
78,4404,46,61,281,27,46,50
79,4405,46,61,281,27,46,50
80,4494,47,62,288,28,47,51
81,4495,47,62,289,28,47,51
82,4496,47,62,289,28,47,51
83,4497,47,63,289,28,47,51
84,4586,48,63,296,28,48,52
85,4587,48,65,297,28,48,52
86,4588,48,65,297,28,48,52
87,4766,50,65,310,28,50,54
88,4767,50,66,311,28,50,54
89,4768,50,66,311,28,50,54
90,4857,51,67,318,29,51,55
91,4858,51,68,318,29,51,55
92,4859,51,68,319,29,51,55
93,4860,51,69,319,29,51,55
94,4950,52,69,326,29,52,56
95,4951,52,70,327,29,52,56
96,4952,52,70,327,29,52,56
97,5130,54,71,340,29,54,58
98,5131,54,72,341,29,54,58
99,5247,54,72,346,29,54,58
