---,HP,Magic,Magic Stone,MP,Speed,Spirit,Strength
1,90,20,15,40,14,20,18
2,113,20,15,41,14,20,18
3,137,20,16,42,14,20,18
4,172,21,16,45,14,21,19
5,201,21,17,47,14,21,19
6,231,21,17,49,14,21,19
7,277,22,17,53,14,22,20
8,312,22,19,55,14,22,20
9,349,22,19,56,14,22,20
10,407,23,20,61,15,23,21
11,446,23,20,63,15,23,21
12,506,24,20,68,15,24,22
13,542,24,21,70,15,24,22
14,604,25,22,75,15,25,23
15,639,25,23,77,15,25,23
16,672,25,23,78,15,25,23
17,734,26,23,83,15,26,24
18,765,26,24,85,15,26,24
19,797,26,24,86,15,26,24
20,867,27,25,91,16,27,25
21,905,27,26,93,16,27,25
22,945,27,26,95,16,27,25
23,1026,28,27,101,16,28,26
24,1113,29,27,107,16,29,27
25,1163,29,28,110,16,29,27
26,1215,29,28,112,16,29,27
27,1316,30,29,119,16,30,28
28,1374,30,30,122,16,30,28
29,1434,30,30,125,16,30,28
30,1550,31,31,133,17,31,29
31,1618,31,31,136,17,31,29
32,1687,31,31,140,17,31,29
33,1820,32,33,148,17,32,30
34,1960,33,33,157,17,33,31
35,2034,33,34,161,17,33,31
36,2104,33,34,165,17,33,31
37,2238,34,34,173,17,34,32
38,2300,34,35,176,17,34,32
39,2356,34,35,179,17,34,32
40,2482,35,37,187,18,35,33
41,2530,35,37,189,18,35,33
42,2572,35,37,191,18,35,33
43,2612,35,38,193,18,35,33
44,2809,37,38,206,18,37,35
45,2846,37,39,208,18,37,35
46,2879,37,40,210,18,37,35
47,2993,38,40,217,18,38,36
48,3022,38,41,218,18,38,36
49,3048,38,41,220,18,38,36
50,3156,39,42,226,19,39,37
51,3177,39,42,227,19,39,37
52,3194,39,42,228,19,39,37
53,3207,39,44,228,19,39,37
54,3301,40,44,235,19,40,38
55,3395,41,45,241,19,41,39
56,3401,41,45,241,19,41,39
57,3494,42,45,248,19,42,40
58,3499,42,46,248,19,42,40
59,3503,42,47,249,19,42,40
60,3594,43,48,255,20,43,41
61,3596,43,48,255,20,43,41
62,3598,43,48,256,20,43,41
63,3598,43,49,256,20,43,41
64,3687,44,49,263,20,44,42
65,3776,45,51,269,20,45,43
66,3777,45,51,270,20,45,43
67,3865,46,51,276,20,46,44
68,3866,46,52,276,20,46,44
69,3867,46,52,277,20,46,44
70,3956,47,53,283,21,47,45
71,3957,47,53,284,21,47,45
72,3958,47,54,284,21,47,45
73,3959,47,55,285,21,47,45
74,4048,48,55,291,21,48,46
75,4048,48,56,292,21,48,46
76,4137,49,56,298,21,49,47
77,4226,50,56,305,21,50,48
78,4227,50,58,306,21,50,48
79,4228,50,58,306,21,50,48
80,4317,51,59,313,22,51,49
81,4318,51,59,313,22,51,49
82,4319,51,59,314,22,51,49
83,4320,51,60,314,22,51,49
84,4410,52,60,321,22,52,50
85,4411,52,62,321,22,52,50
86,4412,52,62,322,22,52,50
87,4589,54,62,335,22,54,52
88,4590,54,63,335,22,54,52
89,4591,54,63,336,22,54,52
90,4680,55,64,343,23,55,53
91,4682,55,65,343,23,55,53
92,4683,55,65,344,23,55,53
93,4684,55,66,344,23,55,53
94,4773,56,66,351,23,56,54
95,4774,56,67,352,23,56,54
96,4775,56,67,352,23,56,54
97,4953,58,68,365,23,58,56
98,4954,58,69,366,23,58,56
99,5066,58,69,372,23,58,56
