---,HP,Magic,Magic Stone,MP,Speed,Spirit,Strength
1,60,24,14,48,16,24,12
2,75,24,14,49,16,24,12
3,91,24,15,50,16,24,12
4,118,25,15,54,16,25,13
5,137,25,16,56,16,25,13
6,158,25,16,58,16,25,13
7,194,26,16,62,16,26,14
8,218,26,18,65,16,26,14
9,244,26,18,67,16,26,14
10,291,27,19,72,17,27,15
11,318,27,19,74,17,27,15
12,368,28,19,79,17,28,16
13,394,28,20,82,17,28,16
14,446,29,21,87,17,29,17
15,472,29,22,89,17,29,17
16,497,29,22,91,17,29,17
17,550,30,22,96,17,30,18
18,573,30,23,98,17,30,18
19,598,30,23,99,17,30,18
20,658,31,24,105,18,31,19
21,687,31,25,107,18,31,19
22,718,31,25,110,18,31,19
23,789,32,26,116,18,32,20
24,866,33,26,122,18,33,21
25,904,33,27,125,18,33,21
26,945,33,27,128,18,33,21
27,1034,34,28,135,18,34,22
28,1079,34,29,139,18,34,22
29,1127,34,29,142,18,34,22
30,1230,35,30,150,19,35,23
31,1283,35,30,154,19,35,23
32,1338,35,30,158,19,35,23
33,1456,36,32,167,19,36,24
34,1581,37,32,176,19,37,25
35,1641,37,33,180,19,37,25
36,1697,37,33,185,19,37,25
37,1818,38,33,193,19,38,26
38,1868,38,34,197,19,38,26
39,1914,38,34,200,19,38,26
40,2031,39,36,208,20,39,27
41,2070,39,36,211,20,39,27
42,2104,39,36,213,20,39,27
43,2137,39,37,216,20,39,27
44,2328,41,37,229,20,41,29
45,2358,41,38,231,20,41,29
46,2386,41,39,232,20,41,29
47,2494,42,39,240,20,42,30
48,2518,42,40,241,20,42,30
49,2540,42,40,243,20,42,30
50,2644,43,41,250,21,43,31
51,2662,43,41,251,21,43,31
52,2676,43,41,251,21,43,31
53,2687,43,43,252,21,43,31
54,2780,44,43,258,21,44,32
55,2872,45,44,265,21,45,33
56,2878,45,44,265,21,45,33
57,2970,46,44,271,21,46,34
58,2974,46,45,272,21,46,34
59,2977,46,46,272,21,46,34
60,3068,47,47,279,22,47,35
61,3070,47,47,279,22,47,35
62,3071,47,47,280,22,47,35
63,3072,47,48,280,22,47,35
64,3160,48,48,287,22,48,36
65,3249,49,50,293,22,49,37
66,3250,49,50,294,22,49,37
67,3338,50,50,300,22,50,38
68,3339,50,51,301,22,50,38
69,3340,50,51,301,22,50,38
70,3428,51,52,308,23,51,39
71,3429,51,52,308,23,51,39
72,3430,51,53,309,23,51,39
73,3431,51,54,309,23,51,39
74,3520,52,54,316,23,52,40
75,3520,52,55,316,23,52,40
76,3609,53,55,323,23,53,41
77,3698,54,55,329,23,54,42
78,3699,54,57,330,23,54,42
79,3700,54,57,331,23,54,42
80,3789,55,58,337,24,55,43
81,3790,55,58,338,24,55,43
82,3790,55,58,338,24,55,43
83,3791,55,59,339,24,55,43
84,3880,56,59,346,24,56,44
85,3881,56,61,346,24,56,44
86,3882,56,61,347,24,56,44
87,4059,58,61,360,24,58,46
88,4060,58,62,360,24,58,46
89,4061,58,62,361,24,58,46
90,4151,59,63,368,25,59,47
91,4151,59,64,368,25,59,47
92,4152,59,64,369,25,59,47
93,4153,59,65,369,25,59,47
94,4243,60,65,376,25,60,48
95,4244,60,66,377,25,60,48
96,4245,60,66,378,25,60,48
97,4423,62,67,391,25,62,50
98,4424,62,68,391,25,62,50
99,4524,62,68,398,25,62,50
