---,HP,Magic,Magic Stone,MP,Speed,Spirit,Strength
1,105,18,18,36,23,18,21
2,131,18,18,37,23,18,21
3,160,18,19,38,23,18,21
4,199,19,19,41,23,19,22
5,233,19,20,42,23,19,22
6,268,19,20,44,23,19,22
7,319,20,20,48,23,20,23
8,359,20,22,50,23,20,23
9,402,20,22,51,23,20,23
10,465,21,23,56,24,21,24
11,509,21,23,58,24,21,24
12,575,22,23,62,24,22,25
13,617,22,24,64,24,22,25
14,683,23,25,69,24,23,26
15,722,23,26,70,24,23,26
16,760,23,26,72,24,23,26
17,826,24,26,77,24,24,27
18,860,24,27,78,24,24,27
19,897,24,27,79,24,24,27
20,971,25,28,85,25,25,28
21,1013,25,29,86,25,25,28
22,1058,25,29,88,25,25,28
23,1144,26,30,94,25,26,29
24,1237,27,30,100,25,27,30
25,1292,27,31,102,25,27,30
26,1350,27,31,105,25,27,30
27,1457,28,32,111,25,28,31
28,1521,28,33,114,25,28,31
29,1588,28,33,117,25,28,31
30,1711,29,34,124,26,29,32
31,1785,29,34,127,26,29,32
32,1862,29,34,131,26,29,32
33,2002,30,36,139,26,30,33
34,2150,31,36,147,26,31,34
35,2231,31,37,151,26,31,34
36,2307,31,37,155,26,31,34
37,2448,32,37,163,26,32,35
38,2515,32,38,166,26,32,35
39,2577,32,38,168,26,32,35
40,2708,33,40,176,27,33,36
41,2760,33,40,178,27,33,36
42,2806,33,40,180,27,33,36
43,2849,33,41,182,27,33,36
44,3050,35,41,195,27,35,38
45,3090,35,42,197,27,35,38
46,3126,35,43,198,27,35,38
47,3243,36,43,205,27,36,39
48,3274,36,44,207,27,36,39
49,3302,36,44,208,27,36,39
50,3412,37,45,215,28,37,40
51,3435,37,45,216,28,37,40
52,3453,37,45,216,28,37,40
53,3467,37,47,217,28,37,40
54,3562,38,47,223,28,38,41
55,3656,39,48,229,28,39,42
56,3663,39,48,230,28,39,42
57,3756,40,48,236,28,40,43
58,3761,40,49,236,28,40,43
59,3765,40,50,237,28,40,43
60,3857,41,51,243,29,41,44
61,3859,41,51,243,29,41,44
62,3861,41,51,244,29,41,44
63,3862,41,52,244,29,41,44
64,3951,42,52,251,29,42,45
65,4039,43,54,257,29,43,46
66,4040,43,54,258,29,43,46
67,4129,44,54,264,29,44,47
68,4130,44,55,264,29,44,47
69,4131,44,55,265,29,44,47
70,4220,45,56,271,30,45,48
71,4221,45,56,272,30,45,48
72,4222,45,57,272,30,45,48
73,4223,45,58,273,30,45,48
74,4312,46,58,279,30,46,49
75,4312,46,59,280,30,46,49
76,4402,47,59,286,30,47,50
77,4491,48,59,293,30,48,51
78,4492,48,61,293,30,48,51
79,4493,48,61,294,30,48,51
80,4582,49,62,300,31,49,52
81,4583,49,62,301,31,49,52
82,4584,49,62,301,31,49,52
83,4585,49,63,302,31,49,52
84,4674,50,63,309,31,50,53
85,4675,50,65,309,31,50,53
86,4676,50,65,310,31,50,53
87,4854,52,65,322,31,52,55
88,4855,52,66,323,31,52,55
89,4856,52,66,323,31,52,55
90,4945,53,67,330,32,53,56
91,4947,53,68,331,32,53,56
92,4948,53,68,331,32,53,56
93,4949,53,69,332,32,53,56
94,5038,54,69,339,32,54,57
95,5039,54,70,339,32,54,57
96,5041,54,70,340,32,54,57
97,5219,56,71,353,32,56,59
98,5220,56,72,353,32,56,59
99,5338,56,72,359,32,56,59
