---,Zidane,Vivi,Dagger,Steiner,Freya,Quina,Eiko,Amarant
1,105,60,70,120,100,90,65,110
2,131,75,87,150,125,113,81,138
3,160,91,106,183,152,137,99,168
4,199,118,136,227,190,172,127,208
5,233,137,159,265,222,201,148,243
6,268,158,183,305,256,231,170,280
7,319,194,222,360,305,277,208,333
8,359,218,250,406,344,312,234,375
9,402,244,279,454,384,349,262,419
10,465,291,329,523,446,407,310,485
11,509,318,361,573,488,446,339,531
12,575,368,414,644,552,506,391,598
13,617,394,444,691,592,542,419,641
14,683,446,499,762,657,604,473,709
15,722,472,528,806,695,639,500,750
16,760,497,555,847,731,672,526,789
17,826,550,612,918,795,734,581,856
18,860,573,637,956,828,765,605,892
19,897,598,664,997,864,797,631,930
20,971,658,728,1075,936,867,693,1005
21,1013,687,760,1122,977,905,724,1049
22,1058,718,793,1171,1020,945,756,1096
23,1144,789,868,1263,1105,1026,829,1184
24,1237,866,948,1360,1195,1113,907,1278
25,1292,904,990,1421,1249,1163,947,1335
26,1350,945,1035,1485,1305,1215,990,1395
27,1457,1034,1128,1598,1410,1316,1081,1504
28,1521,1079,1177,1668,1472,1374,1128,1570
29,1588,1127,1229,1742,1537,1434,1178,1639
30,1711,1230,1337,1871,1657,1550,1283,1764
31,1785,1283,1395,1953,1729,1618,1339,1841
32,1862,1338,1455,2037,1804,1687,1396,1920
33,2002,1456,1577,2184,1941,1820,1517,2063
34,2150,1581,1707,2339,2086,1960,1644,2213
35,2231,1641,1772,2428,2166,2034,1706,2297
36,2307,1697,1832,2511,2240,2104,1764,2375
37,2448,1818,1958,2658,2378,2238,1888,2518
38,2515,1868,2012,2731,2443,2300,1940,2587
39,2577,1914,2061,2798,2503,2356,1988,2651
40,2708,2031,2181,2934,2633,2482,2106,2783
41,2760,2070,2223,2990,2683,2530,2147,2837
42,2806,2104,2260,3040,2728,2572,2182,2884
43,2849,2137,2295,3087,2770,2612,2216,2928
44,3050,2328,2488,3291,2970,2809,2408,3130
45,3090,2358,2520,3334,3008,2846,2439,3171
46,3126,2386,2550,3373,3044,2879,2468,3208
47,3243,2494,2661,3492,3160,2993,2577,3326
48,3274,2518,2686,3526,3190,3022,2602,3358
49,3302,2540,2709,3556,3217,3048,2625,3387
50,3412,2644,2815,3668,3327,3156,2730,3498
51,3435,2662,2834,3692,3349,3177,2748,3521
52,3453,2676,2849,3712,3367,3194,2762,3539
53,3467,2687,2860,3727,3380,3207,2773,3553
54,3562,2780,2953,3822,3475,3301,2867,3648
55,3656,2872,3047,3917,3569,3395,2960,3743
56,3663,2878,3052,3924,3576,3401,2965,3750
57,3756,2970,3144,4018,3669,3494,3057,3843
58,3761,2974,3149,4024,3674,3499,3061,3849
59,3765,2977,3152,4028,3678,3503,3065,3853
60,3857,3068,3243,4120,3769,3594,3155,3944
61,3859,3070,3245,4122,3771,3596,3157,3947
62,3861,3071,3247,4124,3773,3598,3159,3949
63,3862,3072,3247,4125,3774,3598,3160,3950
64,3951,3160,3336,4214,3863,3687,3248,4038
65,4039,3249,3424,4303,3951,3776,3337,4127
66,4040,3250,3425,4304,3952,3777,3337,4128
67,4129,3338,3514,4393,4041,3865,3426,4217
68,4130,3339,3515,4394,4042,3866,3427,4218
69,4131,3340,3516,4395,4043,3867,3428,4219
70,4220,3428,3604,4483,4132,3956,3516,4308
71,4221,3429,3605,4484,4133,3957,3517,4309
72,4222,3430,3606,4485,4134,3958,3518,4310
73,4223,3431,3607,4486,4135,3959,3519,4311
74,4312,3520,3696,4576,4224,4048,3608,4400
75,4312,3520,3696,4577,4224,4048,3608,4401
76,4402,3609,3785,4666,4313,4137,3697,4490
77,4491,3698,3874,4755,4403,4226,3786,4579
78,4492,3699,3875,4756,4404,4227,3787,4580
79,4493,3700,3876,4757,4405,4228,3788,4581
80,4582,3789,3965,4846,4494,4317,3877,4670
81,4583,3790,3966,4847,4495,4318,3878,4671
82,4584,3790,3967,4848,4496,4319,3879,4672
83,4585,3791,3968,4849,4497,4320,3879,4673
84,4674,3880,4057,4939,4586,4410,3969,4762
85,4675,3881,4058,4940,4587,4411,3969,4763
86,4676,3882,4059,4941,4588,4412,3970,4764
87,4854,4059,4236,5119,4766,4589,4148,4942
88,4855,4060,4237,5120,4767,4590,4149,4943
89,4856,4061,4238,5121,4768,4591,4150,4944
90,4945,4151,4327,5210,4857,4680,4239,5034
91,4947,4151,4328,5212,4858,4682,4240,5035
92,4948,4152,4329,5213,4859,4683,4241,5036
93,4949,4153,4330,5214,4860,4684,4242,5037
94,5038,4243,4420,5304,4950,4773,4331,5127
95,5039,4244,4421,5305,4951,4774,4332,5128
96,5041,4245,4422,5306,4952,4775,4333,5129
97,5219,4423,4599,5484,5130,4953,4511,5307
98,5220,4424,4600,5485,5131,4954,4512,5308
99,5338,4524,4704,5609,5247,5066,4614,5428
