---,Zidane,Vivi,Dagger,Steiner,Freya,Quina,Eiko,Amarant
1,36,48,46,24,32,40,42,26
2,37,49,47,24,32,41,43,26
3,38,50,48,25,33,42,44,27
4,41,54,52,28,37,45,48,30
5,42,56,54,29,38,47,49,31
6,44,58,56,30,39,49,51,32
7,48,62,60,33,43,53,55,36
8,50,65,62,35,45,55,57,37
9,51,67,64,36,46,56,59,38
10,56,72,69,40,50,61,64,42
11,58,74,72,41,52,63,66,44
12,62,79,76,45,57,68,71,48
13,64,82,79,46,58,70,73,49
14,69,87,84,51,63,75,78,54
15,70,89,86,52,64,77,80,55
16,72,91,88,53,66,78,81,56
17,77,96,93,57,70,83,86,60
18,78,98,94,58,71,85,88,62
19,79,99,96,59,73,86,89,63
20,85,105,102,64,78,91,95,68
21,86,107,104,65,79,93,97,69
22,88,110,106,67,81,95,99,71
23,94,116,112,72,87,101,105,76
24,100,122,118,77,92,107,111,81
25,102,125,121,79,95,110,114,83
26,105,128,124,81,97,112,116,85
27,111,135,131,87,103,119,123,91
28,114,139,134,89,106,122,126,94
29,117,142,138,92,108,125,129,96
30,124,150,146,98,116,133,137,103
31,127,154,149,101,119,136,141,105
32,131,158,154,104,122,140,144,108
33,139,167,162,111,130,148,153,116
34,147,176,171,119,138,157,162,124
35,151,180,176,122,141,161,166,127
36,155,185,180,125,145,165,170,130
37,163,193,188,132,153,173,178,137
38,166,197,192,134,155,176,181,140
39,168,200,194,137,158,179,184,142
40,176,208,203,144,165,187,192,149
41,178,211,205,146,168,189,195,151
42,180,213,208,147,169,191,197,153
43,182,216,210,149,171,193,199,155
44,195,229,223,162,184,206,212,167
45,197,231,225,163,186,208,214,169
46,198,232,227,164,187,210,215,170
47,205,240,234,171,194,217,223,177
48,207,241,236,172,195,218,224,178
49,208,243,237,173,196,220,225,179
50,215,250,244,180,203,226,232,186
51,216,251,245,181,204,227,233,186
52,216,251,246,181,205,228,234,187
53,217,252,246,181,205,228,234,187
54,223,258,252,188,211,235,241,194
55,229,265,259,194,217,241,247,200
56,230,265,259,194,218,241,247,200
57,236,271,265,200,224,248,254,206
58,236,272,266,201,224,248,254,207
59,237,272,266,201,225,249,254,207
60,243,279,273,207,231,255,261,213
61,243,279,273,208,232,255,261,214
62,244,280,274,208,232,256,262,214
63,244,280,274,208,232,256,262,214
64,251,287,281,215,239,263,269,221
65,257,293,287,221,245,269,275,227
66,258,294,288,222,246,270,276,228
67,264,300,294,228,252,276,282,234
68,264,301,294,228,252,276,282,234
69,265,301,295,229,253,277,283,235
70,271,308,302,235,259,283,289,241
71,272,308,302,235,260,284,290,242
72,272,309,303,236,260,284,290,242
73,273,309,303,236,261,285,291,242
74,279,316,310,243,267,291,297,249
75,280,316,310,243,267,292,298,249
76,286,323,317,250,274,298,305,256
77,293,329,323,256,281,305,311,262
78,293,330,324,257,281,306,312,263
79,294,331,324,257,281,306,312,263
80,300,337,331,264,288,313,319,270
81,301,338,332,264,289,313,319,270
82,301,338,332,264,289,314,320,271
83,302,339,333,265,289,314,320,271
84,309,346,339,271,296,321,327,278
85,309,346,340,272,297,321,328,278
86,310,347,341,272,297,322,328,279
87,322,360,353,285,310,335,341,291
88,323,360,354,286,311,335,342,292
89,323,361,355,286,311,336,342,292
90,330,368,361,293,318,343,349,299
91,331,368,362,293,318,343,350,300
92,331,369,363,294,319,344,350,300
93,332,369,363,294,319,344,351,300
94,339,376,370,301,326,351,357,307
95,339,377,371,301,327,352,358,308
96,340,378,371,302,327,352,359,308
97,353,391,384,315,340,365,372,321
98,353,391,385,316,341,366,372,322
99,359,398,391,321,346,372,378,327
