---,Zidane,Vivi,Dagger,Steiner,Freya,Quina,Eiko,Amarant
1,18,24,23,12,16,20,21,13
2,18,24,23,12,16,20,21,13
3,18,24,23,12,16,20,21,13
4,19,25,24,13,17,21,22,14
5,19,25,24,13,17,21,22,14
6,19,25,24,13,17,21,22,14
7,20,26,25,14,18,22,23,15
8,20,26,25,14,18,22,23,15
9,20,26,25,14,18,22,23,15
10,21,27,26,15,19,23,24,16
11,21,27,26,15,19,23,24,16
12,22,28,27,16,20,24,25,17
13,22,28,27,16,20,24,25,17
14,23,29,28,17,21,25,26,18
15,23,29,28,17,21,25,26,18
16,23,29,28,17,21,25,26,18
17,24,30,29,18,22,26,27,19
18,24,30,29,18,22,26,27,19
19,24,30,29,18,22,26,27,19
20,25,31,30,19,23,27,28,20
21,25,31,30,19,23,27,28,20
22,25,31,30,19,23,27,28,20
23,26,32,31,20,24,28,29,21
24,27,33,32,21,25,29,30,22
25,27,33,32,21,25,29,30,22
26,27,33,32,21,25,29,30,22
27,28,34,33,22,26,30,31,23
28,28,34,33,22,26,30,31,23
29,28,34,33,22,26,30,31,23
30,29,35,34,23,27,31,32,24
31,29,35,34,23,27,31,32,24
32,29,35,34,23,27,31,32,24
33,30,36,35,24,28,32,33,25
34,31,37,36,25,29,33,34,26
35,31,37,36,25,29,33,34,26
36,31,37,36,25,29,33,34,26
37,32,38,37,26,30,34,35,27
38,32,38,37,26,30,34,35,27
39,32,38,37,26,30,34,35,27
40,33,39,38,27,31,35,36,28
41,33,39,38,27,31,35,36,28
42,33,39,38,27,31,35,36,28
43,33,39,38,27,31,35,36,28
44,35,41,40,29,33,37,38,30
45,35,41,40,29,33,37,38,30
46,35,41,40,29,33,37,38,30
47,36,42,41,30,34,38,39,31
48,36,42,41,30,34,38,39,31
49,36,42,41,30,34,38,39,31
50,37,43,42,31,35,39,40,32
51,37,43,42,31,35,39,40,32
52,37,43,42,31,35,39,40,32
53,37,43,42,31,35,39,40,32
54,38,44,43,32,36,40,41,33
55,39,45,44,33,37,41,42,34
56,39,45,44,33,37,41,42,34
57,40,46,45,34,38,42,43,35
58,40,46,45,34,38,42,43,35
59,40,46,45,34,38,42,43,35
60,41,47,46,35,39,43,44,36
61,41,47,46,35,39,43,44,36
62,41,47,46,35,39,43,44,36
63,41,47,46,35,39,43,44,36
64,42,48,47,36,40,44,45,37
65,43,49,48,37,41,45,46,38
66,43,49,48,37,41,45,46,38
67,44,50,49,38,42,46,47,39
68,44,50,49,38,42,46,47,39
69,44,50,49,38,42,46,47,39
70,45,51,50,39,43,47,48,40
71,45,51,50,39,43,47,48,40
72,45,51,50,39,43,47,48,40
73,45,51,50,39,43,47,48,40
74,46,52,51,40,44,48,49,41
75,46,52,51,40,44,48,49,41
76,47,53,52,41,45,49,50,42
77,48,54,53,42,46,50,51,43
78,48,54,53,42,46,50,51,43
79,48,54,53,42,46,50,51,43
80,49,55,54,43,47,51,52,44
81,49,55,54,43,47,51,52,44
82,49,55,54,43,47,51,52,44
83,49,55,54,43,47,51,52,44
84,50,56,55,44,48,52,53,45
85,50,56,55,44,48,52,53,45
86,50,56,55,44,48,52,53,45
87,52,58,57,46,50,54,55,47
88,52,58,57,46,50,54,55,47
89,52,58,57,46,50,54,55,47
90,53,59,58,47,51,55,56,48
91,53,59,58,47,51,55,56,48
92,53,59,58,47,51,55,56,48
93,53,59,58,47,51,55,56,48
94,54,60,59,48,52,56,57,49
95,54,60,59,48,52,56,57,49
96,54,60,59,48,52,56,57,49
97,56,62,61,50,54,58,59,51
98,56,62,61,50,54,58,59,51
99,56,62,61,50,54,58,59,51
