---,Zidane,Vivi,Dagger,Steiner,Freya,Quina,Eiko,Amarant
1,18,14,14,17,18,15,13,18
2,18,14,14,17,18,15,13,18
3,19,15,15,18,19,16,14,19
4,19,15,15,18,19,16,14,19
5,20,16,16,19,20,17,15,20
6,20,16,16,19,20,17,15,20
7,20,16,16,19,20,17,15,20
8,22,18,18,21,22,19,17,22
9,22,18,18,21,22,19,17,22
10,23,19,19,22,23,20,18,23
11,23,19,19,22,23,20,18,23
12,23,19,19,22,23,20,18,23
13,24,20,20,23,24,21,19,24
14,25,21,21,24,25,22,20,25
15,26,22,22,25,26,23,21,26
16,26,22,22,25,26,23,21,26
17,26,22,22,25,26,23,21,26
18,27,23,23,26,27,24,22,27
19,27,23,23,26,27,24,22,27
20,28,24,24,27,28,25,23,28
21,29,25,25,28,29,26,24,29
22,29,25,25,28,29,26,24,29
23,30,26,26,29,30,27,25,30
24,30,26,26,29,30,27,25,30
25,31,27,27,30,31,28,26,31
26,31,27,27,30,31,28,26,31
27,32,28,28,31,32,29,27,32
28,33,29,29,32,33,30,28,33
29,33,29,29,32,33,30,28,33
30,34,30,30,33,34,31,29,34
31,34,30,30,33,34,31,29,34
32,34,30,30,33,34,31,29,34
33,36,32,32,35,36,33,31,36
34,36,32,32,35,36,33,31,36
35,37,33,33,36,37,34,32,37
36,37,33,33,36,37,34,32,37
37,37,33,33,36,37,34,32,37
38,38,34,34,37,38,35,33,38
39,38,34,34,37,38,35,33,38
40,40,36,36,39,40,37,35,40
41,40,36,36,39,40,37,35,40
42,40,36,36,39,40,37,35,40
43,41,37,37,40,41,38,36,41
44,41,37,37,40,41,38,36,41
45,42,38,38,41,42,39,37,42
46,43,39,39,42,43,40,38,43
47,43,39,39,42,43,40,38,43
48,44,40,40,43,44,41,39,44
49,44,40,40,43,44,41,39,44
50,45,41,41,44,45,42,40,45
51,45,41,41,44,45,42,40,45
52,45,41,41,44,45,42,40,45
53,47,43,43,46,47,44,42,47
54,47,43,43,46,47,44,42,47
55,48,44,44,47,48,45,43,48
56,48,44,44,47,48,45,43,48
57,48,44,44,47,48,45,43,48
58,49,45,45,48,49,46,44,49
59,50,46,46,49,50,47,45,50
60,51,47,47,50,51,48,46,51
61,51,47,47,50,51,48,46,51
62,51,47,47,50,51,48,46,51
63,52,48,48,51,52,49,47,52
64,52,48,48,51,52,49,47,52
65,54,50,50,53,54,51,49,54
66,54,50,50,53,54,51,49,54
67,54,50,50,53,54,51,49,54
68,55,51,51,54,55,52,50,55
69,55,51,51,54,55,52,50,55
70,56,52,52,55,56,53,51,56
71,56,52,52,55,56,53,51,56
72,57,53,53,56,57,54,52,57
73,58,54,54,57,58,55,53,58
74,58,54,54,57,58,55,53,58
75,59,55,55,58,59,56,54,59
76,59,55,55,58,59,56,54,59
77,59,55,55,58,59,56,54,59
78,61,57,57,60,61,58,56,61
79,61,57,57,60,61,58,56,61
80,62,58,58,61,62,59,57,62
81,62,58,58,61,62,59,57,62
82,62,58,58,61,62,59,57,62
83,63,59,59,62,63,60,58,63
84,63,59,59,62,63,60,58,63
85,65,61,61,64,65,62,60,65
86,65,61,61,64,65,62,60,65
87,65,61,61,64,65,62,60,65
88,66,62,62,65,66,63,61,66
89,66,62,62,65,66,63,61,66
90,67,63,63,66,67,64,62,67
91,68,64,64,67,68,65,63,68
92,68,64,64,67,68,65,63,68
93,69,65,65,68,69,66,64,69
94,69,65,65,68,69,66,64,69
95,70,66,66,69,70,67,65,70
96,70,66,66,69,70,67,65,70
97,71,67,67,70,71,68,66,71
98,72,68,68,71,72,69,67,72
99,72,68,68,71,72,69,67,72
