---,Zidane,Vivi,Dagger,Steiner,Freya,Quina,Eiko,Amarant
1,23,16,21,18,20,14,19,22
2,23,16,21,18,20,14,19,22
3,23,16,21,18,20,14,19,22
4,23,16,21,18,20,14,19,22
5,23,16,21,18,20,14,19,22
6,23,16,21,18,20,14,19,22
7,23,16,21,18,20,14,19,22
8,23,16,21,18,20,14,19,22
9,23,16,21,18,20,14,19,22
10,24,17,22,19,21,15,20,23
11,24,17,22,19,21,15,20,23
12,24,17,22,19,21,15,20,23
13,24,17,22,19,21,15,20,23
14,24,17,22,19,21,15,20,23
15,24,17,22,19,21,15,20,23
16,24,17,22,19,21,15,20,23
17,24,17,22,19,21,15,20,23
18,24,17,22,19,21,15,20,23
19,24,17,22,19,21,15,20,23
20,25,18,23,20,22,16,21,24
21,25,18,23,20,22,16,21,24
22,25,18,23,20,22,16,21,24
23,25,18,23,20,22,16,21,24
24,25,18,23,20,22,16,21,24
25,25,18,23,20,22,16,21,24
26,25,18,23,20,22,16,21,24
27,25,18,23,20,22,16,21,24
28,25,18,23,20,22,16,21,24
29,25,18,23,20,22,16,21,24
30,26,19,24,21,23,17,22,25
31,26,19,24,21,23,17,22,25
32,26,19,24,21,23,17,22,25
33,26,19,24,21,23,17,22,25
34,26,19,24,21,23,17,22,25
35,26,19,24,21,23,17,22,25
36,26,19,24,21,23,17,22,25
37,26,19,24,21,23,17,22,25
38,26,19,24,21,23,17,22,25
39,26,19,24,21,23,17,22,25
40,27,20,25,22,24,18,23,26
41,27,20,25,22,24,18,23,26
42,27,20,25,22,24,18,23,26
43,27,20,25,22,24,18,23,26
44,27,20,25,22,24,18,23,26
45,27,20,25,22,24,18,23,26
46,27,20,25,22,24,18,23,26
47,27,20,25,22,24,18,23,26
48,27,20,25,22,24,18,23,26
49,27,20,25,22,24,18,23,26
50,28,21,26,23,25,19,24,27
51,28,21,26,23,25,19,24,27
52,28,21,26,23,25,19,24,27
53,28,21,26,23,25,19,24,27
54,28,21,26,23,25,19,24,27
55,28,21,26,23,25,19,24,27
56,28,21,26,23,25,19,24,27
57,28,21,26,23,25,19,24,27
58,28,21,26,23,25,19,24,27
59,28,21,26,23,25,19,24,27
60,29,22,27,24,26,20,25,28
61,29,22,27,24,26,20,25,28
62,29,22,27,24,26,20,25,28
63,29,22,27,24,26,20,25,28
64,29,22,27,24,26,20,25,28
65,29,22,27,24,26,20,25,28
66,29,22,27,24,26,20,25,28
67,29,22,27,24,26,20,25,28
68,29,22,27,24,26,20,25,28
69,29,22,27,24,26,20,25,28
70,30,23,28,25,27,21,26,29
71,30,23,28,25,27,21,26,29
72,30,23,28,25,27,21,26,29
73,30,23,28,25,27,21,26,29
74,30,23,28,25,27,21,26,29
75,30,23,28,25,27,21,26,29
76,30,23,28,25,27,21,26,29
77,30,23,28,25,27,21,26,29
78,30,23,28,25,27,21,26,29
79,30,23,28,25,27,21,26,29
80,31,24,29,26,28,22,27,30
81,31,24,29,26,28,22,27,30
82,31,24,29,26,28,22,27,30
83,31,24,29,26,28,22,27,30
84,31,24,29,26,28,22,27,30
85,31,24,29,26,28,22,27,30
86,31,24,29,26,28,22,27,30
87,31,24,29,26,28,22,27,30
88,31,24,29,26,28,22,27,30
89,31,24,29,26,28,22,27,30
90,32,25,30,27,29,23,28,31
91,32,25,30,27,29,23,28,31
92,32,25,30,27,29,23,28,31
93,32,25,30,27,29,23,28,31
94,32,25,30,27,29,23,28,31
95,32,25,30,27,29,23,28,31
96,32,25,30,27,29,23,28,31
97,32,25,30,27,29,23,28,31
98,32,25,30,27,29,23,28,31
99,32,25,30,27,29,23,28,31
